artifact_name,artifact_link,artifact_studies,artifact_maturity,artifact_type,artificat_evidence_level,artifact_input,artifact_level_automation,artifact_vendor,artifact_n_studies,artifact_license
SONARQUBE,https://www.sonarqube.org/,"['16', '76', '88', '109', '116', '223', '232', '292', '295', '338', '115', '196', '202', '132', '228', '264', '268', '433', '429', '248', '287', '289', '297', '184', '307', '310', '383', '392', '398', '334', '340', '348', '432', '137', '308', '351', '235', '299', '369', '402', '124', '311', '281', '286', '229', '131', '427', '214', '218', '244', '293', '302', '314', '316', '318', '327', '329', '330', '332', '395', '410', '424', '436', '437', '57', '4', '27', 'Zengyang-S22']","{'Proof-of-concept': ['16', '76', '88', '109', '116', '232', '115', '196', '202', '132', '429', '248', '287', '289', '297', '184', '307', '310', '383', '392', '398', '432', '351', '235', '299', '402', '124', '311', '281', '286', '229', '131', '427', '214', '218', '244', '293', '302', '314', '316', '318', '327', '329', '330', '395', '410', '424', '437'], 'Demonstration in real environment': ['223', '137', '308', '369', '332', 'Zengyang-S22'], 'Runnig Examples': ['292', '295', '338', '228', '264', '436', '27'], None: ['268', '433', '334', '340', '348'], 'Demonstration and test in real environment': ['57'], 'Successfully proof in a real environment': ['4']}","{'Tool': ['16', '76', '88', '109', '116', '232', '292', '295', '338', '196', '202', '132', '264', '268', '429', '248', '287', '289', '184', '307', '310', '137', '308', '351', '235', '369', '402', '124', '311', '286', '131', '427', '214', '218', '244', '302', '314', '318', '327', '329', '330', '332', '410', '424', '57', '4', 'Zengyang-S22'], 'Approach (e.g., integration of different tools)': ['223', '433', '297', '383', '392', '398', '432', '299'], 'Plugin': ['115', '281', '229', '27'], 'Bot': ['228'], None: ['334', '340', '348'], 'Script': ['293', '316', '395', '436', '437']}","{'Examples': ['16', '109', '116', '292', '295', '338', '115', '196', '202', '132', '228', '264', '268'], 'Expert Opinion': ['76', '88'], 'Industrial Applications': ['223', '4'], 'Academic Studies': ['232', '429', '248', '287', '289', '297', '184', '307', '310', '383', '392', '398', '432', '351', '235', '299', '402', '124', '311', '281', '286', '229', '131', '427', '214', '218', '244', '293', '302', '314', '316', '318', '327', '329', '330', '395', '410', '424', '436', '437', '27'], None: ['433', '334', '340', '348'], 'Industrial Studies': ['137', '308', '369', '332', '57', 'Zengyang-S22']}","{'Source Code': ['16', '76', '88', '109', '116', '223', '232', '292', '295', '338', '196', '202', '132', '228', '433', '429', '248', '289', '297', '184', '398', '137', '308', '351', '235', '369', '402', '124', '311', '281', '286', '229', '131', '427', '214', '218', '244', '293', '302', '314', '316', '318', '327', '330', '332', '410', '424', '436', '437', '57', '4', 'Zengyang-S22'], 'EMF Refactor - UML Diagrams\r\nSonarQube - Source Code': ['115'], 'Source Code\r\nGUI': ['264'], None: ['268', '334', '340', '348'], 'Source Code\r\nCode Comments': ['287', '432'], 'Source code': ['307', '310'], 'An existing dataset with TD Values.': ['383'], 'Source Code\r\nGithub Metadata': ['392'], 'Data generated by other tools (e.g., Sonarqub)': ['299'], 'Souce Code\r\nMDD Models': ['329'], 'Source Code\r\nIssues\r\nCommits': ['395'], 'XML Models ': ['27']}","{'It automates a task (e.g., static code analysis)': ['16', '76', '88', '109', '116', '223', '292', '295', '338'], 'It automates a process (e.g., calculate the TD interest)': ['232'], 'It automates a process': ['115', '132', '228', '433', '429', '289', '297', '310', '392', '432', '235', '299', '369', '402', '124', '218', '302', '314', '318', '327', '330', '410', '57', 'Zengyang-S22'], 'It automates a task': ['196', '202', '264', '268', '248', '287', '184', '307', '383', '398', '137', '308', '351', '311', '281', '286', '229', '131', '427', '214', '244', '293', '316', '329', '332', '395', '424', '436', '437', '4', '27'], None: ['334', '340', '348']}","['223', '196', '132', '228', '433', '287', '297', '432', '299', '229', '293', '316', '332', '395', '436', '437', '27']",68,"{'Open Source': ['16', '109', '116', '223', '232', '292', '295', '338', '115', '196', '202', '228', '433', '248', '287', '297', '310', '383', '392', '432', '299', '229', '427', '293', '314', '316', '329', '395', '436', '437'], 'SonarQube  (Open Source), Other (Commercial)': ['76'], 'SonarQube is open source, other commercial.': ['88'], 'Free': ['132', '264', '268', '429', '289', '184', '307', '398', '137', '308', '351', '235', '369', '402', '124', '311', '281', '286', '131', '214', '218', '244', '302', '318', '327', '330', '332', '410', '424', '57', '4', '27', 'Zengyang-S22'], None: ['334', '340', '348']}"
SOURCE MONITOR,https://www.campwoodsw.com/sourcemonitor.html/,['67'],{'Runnig Examples': ['67']},{'Tool': ['67']},{'Examples': ['67']},"{'Source Code\r\nExecutition Data (E.g., memory usage)': ['67']}",{'It automates a task': ['67']},[],1,{'Free': ['67']}
SPACY,https://spacy.io/,['319'],{'Proof-of-concept': ['319']},"{'Approach (e.g., integration of different tools)': ['319']}",{'Academic Studies': ['319']},{'Code Comments': ['319']},{'It automates a task': ['319']},['319'],1,{'Open Source': ['319']}
SQALE PLUGIN OF THE SONAR,https://www.sonarplugins.com/sqale,['Zengyang-S50'],{'Proof-of-concept': ['Zengyang-S50']},{'Plugin': ['Zengyang-S50']},{'Academic Studies': ['Zengyang-S50']},{'Source Code': ['Zengyang-S50']},{'It automates a task': ['Zengyang-S50']},[],1,{'Free': ['Zengyang-S50']}
SQUORE,https://www.squoring.com/en/produits/squore-software-analytics/,"['289', '334', '348', '327']","{'Proof-of-concept': ['289', '327'], None: ['334', '348']}","{'Tool': ['289', '327'], None: ['334', '348']}","{'Academic Studies': ['289', '327'], None: ['334', '348']}","{'Source Code': ['289', '327'], None: ['334', '348']}","{'It automates a process': ['289', '327'], None: ['334', '348']}",[],4,"{'Free': ['289', '327'], None: ['334', '348']}"
STAN,https://stan4j.com/,"['184', 'Zengyang-S37']","{'Proof-of-concept': ['184', 'Zengyang-S37']}","{'Tool': ['184', 'Zengyang-S37']}","{'Academic Studies': ['184', 'Zengyang-S37']}","{'Source Code': ['184', 'Zengyang-S37']}","{'It automates a task': ['184', 'Zengyang-S37']}",[],2,"{'Free': ['184', 'Zengyang-S37']}"
STRUCTURE 101,https://structure101.com/,"['297', '349']","{'Proof-of-concept': ['297', '349']}","{'Approach (e.g., integration of different tools)': ['297'], 'Tool': ['349']}","{'Academic Studies': ['297', '349']}","{'Source Code': ['297', '349']}","{'It automates a process': ['297'], 'It automates a task': ['349']}",['297'],2,"{'Open Source': ['297'], 'Various': ['349']}"
STRUCTURE101,https://structure101.com/,"['88', '82', '184', '340', '332']","{'Proof-of-concept': ['88', '82', '184'], None: ['340'], 'Demonstration in real environment': ['332']}","{'Tool': ['88', '82', '184', '332'], None: ['340']}","{'Expert Opinion': ['88', '82'], 'Academic Studies': ['184'], None: ['340'], 'Industrial Studies': ['332']}","{'Source Code': ['88', '82', '184', '332'], None: ['340']}","{'It automates a task (e.g., static code analysis)': ['88'], 'It automates a task': ['82', '184', '332'], None: ['340']}",['332'],5,"{'SonarQube is open source, other commercial.': ['88'], 'Free': ['82', '184', '332'], None: ['340']}"
SUCCINCT CODE COUNTER,https://github.com/boyter/scc,['340'],{None: ['340']},{None: ['340']},{None: ['340']},{None: ['340']},{None: ['340']},['297'],1,{None: ['340']}
SYMFONYINSIGHT,https://insight.symfony.com/,['348'],{None: ['348']},{None: ['348']},{None: ['348']},{None: ['348']},{None: ['348']},[],1,{None: ['348']}
TD BENCHMARKER,https://github.com/theoam/TDBenchmarker,['387'],{'Proof-of-concept': ['387']},"{'Approach (e.g., integration of different tools)': ['387']}",{'Academic Studies': ['387']},{'Source Code\r\nGit Metadata\r\nCode Comments': ['387']},{'It automates a process': ['387']},['387'],1,{'Free': ['387']}
TD-TRACKER,http://www2.fct.unesp.br/grupos/,['334'],{None: ['334']},{None: ['334']},{None: ['334']},{None: ['334']},{None: ['334']},[],1,{None: ['334']}
TEAMSCALE,"www.teamscale.io
https://www.cqse.eu/en/products/teamscale/landing/","['224', '303', '332']","{'Demonstration in real environment': ['224', '303', '332']}","{'Tool': ['224', '303', '332']}","{'Industrial Studies': ['224', '332'], 'Industrial Applications': ['303']}","{'Source Code': ['224', '303', '332']}","{'It automates a task (e.g., static code analysis)': ['224'], 'It automates a task': ['303', '332']}",['332'],3,"{'Free': ['224', '332'], 'Commercial with free trial': ['303']}"
TECHNICAL DEBT FORECASTING,https://sites.google.com/view/technical-debt-forecasting/main?authuser=0,['332'],{'Demonstration in real environment': ['332']},{'Tool': ['332']},{'Industrial Studies': ['332']},{'Source Code': ['332']},{'It automates a task': ['332']},['332'],1,{'Free': ['332']}
TEDMA,Not Accessible,['334'],{None: ['334']},{None: ['334']},{None: ['334']},{None: ['334']},{None: ['334']},[],1,{None: ['334']}
TENSORFLOW,https://www.tensorflow.org,['407'],{'Proof-of-concept': ['407']},"{'Approach (e.g., integration of different tools)': ['407']}",{'Academic Studies': ['407']},{'Source Code': ['407']},{'It automates a task': ['407']},['407'],1,{'Open Source': ['407']}
TETRA,Not Accessible,"['223', '431']","{'Demonstration in real environment': ['223', '431']}","{'Approach (e.g., integration of different tools)': ['223', '431']}","{'Industrial Applications': ['223', '431']}","{'Source Code': ['223', '431']}","{'It automates a task (e.g., static code analysis)': ['223'], 'It automates a process': ['431']}",['223'],2,"{'Open Source': ['223'], 'Commercial/Private': ['431']}"
TODO,https://todo.jasonet.co/,['413'],{'Proof-of-concept': ['413']},{'Bot': ['413']},{'Academic Studies': ['413']},{'Source Code\r\nCode Comments': ['413']},{'It automates a process': ['413']},[],1,{'Open Source': ['413']}
TOGETHER,https://www.microfocus.com/en-us/products/together/overview,"['278', '422']","{'Runnig Examples': ['278'], 'Proof-of-concept': ['422']}","{'Tool': ['278', '422']}","{'Examples': ['278'], 'Academic Studies': ['422']}","{'Source code': ['278'], 'Source Code': ['422']}","{'It automates a task': ['278', '422']}",[],2,"{'Open Source': ['278'], 'Free': ['422']}"
UNDERSTAND,www.scitools.com,"['136', '178', '216', '297', '206', '272', '351', '303', '59', 'Zengyang-S58']","{'Proof-of-concept': ['136', '216', '297', '206', '272', '351', '59', 'Zengyang-S58'], 'Demonstration in real environment': ['178', '303']}","{'Plugin': ['136'], 'Tool': ['178', '216', '206', '272', '351', '303', '59', 'Zengyang-S58'], 'Approach (e.g., integration of different tools)': ['297']}","{'Examples': ['136'], 'Industrial Studies': ['178'], 'Academic Studies': ['216', '297', '206', '272', '351', '59', 'Zengyang-S58'], 'Industrial Applications': ['303']}","{'Source Code': ['136', '216', '297', '206', '272', '351', '303', '59', 'Zengyang-S58'], 'Dependency Graph\r\nRevision History\r\nBug Reports': ['178']}","{'It automates a task': ['136', '216', '206', '351', '303', '59', 'Zengyang-S58'], 'It automates a process': ['178', '297', '272']}","['136', '297']",10,"{'Open Source': ['136', '297'], 'Free': ['178', '216', '206', '272', '351', '59', 'Zengyang-S58'], 'Commercial with free trial': ['303']}"
VISMINERTD,https://visminer.github.io,"['246', '334']","{'Proof-of-concept': ['246'], None: ['334']}","{'Tool': ['246'], None: ['334']}","{'Academic Studies': ['246'], None: ['334']}","{'Source Code\r\nCode Comments': ['246'], None: ['334']}","{'It automates a process': ['246'], None: ['334']}",['246'],2,"{'Open Source': ['246'], None: ['334']}"
VISUAL PARADIGM,https://www.visual-paradigm.com/,['351'],{'Proof-of-concept': ['351']},{'Tool': ['351']},{'Academic Studies': ['351']},{'Source Code': ['351']},{'It automates a task': ['351']},[],1,{'Free': ['351']}
VIZZMAINTAINANCE ECLIPSE PLUGIN.,http://www.arisa.se/products.php?lang=en,['253'],{'Proof-of-concept': ['253']},{'Plugin': ['253']},{'Academic Studies': ['253']},{'Source Code': ['253']},{'It automates a task': ['253']},[],1,{'Free': ['253']}
WORD2VEC,https://www.tensorflow.org/tutorials/text/word2vec,"['182', '212', '301']","{'Runnig Examples': ['182'], 'Proof-of-concept': ['212', '301']}","{'Approach (e.g., integration of different tools)': ['182', '212', '301']}","{'Examples': ['182'], 'Academic Studies': ['212', '301']}","{'Code Comments': ['182', '212', '301']}","{'It automates a task (e.g., static code analysis)': ['182'], 'It automates a task': ['212', '301']}",[],3,"{'Open Source': ['182', '301'], 'Free': ['212']}"
